Year,Month,Day,Time (in MPH),Speed
2020,10,18,17:47:26,<Direction.ENTER: 1>
2020,10,18,17:47:26,<Direction.ENTER: 1>
2020,10,18,17:50:27,<Direction.ENTER: 1>
2020,10,18,17:52:52,<Direction.ENTER: 1>
2020,10,18,17:52:53,<Direction.ENTER: 1>
2020,10,18,17:54:00,<Direction.ENTER: 1>
2020,10,18,18:02:05,<Direction.ENTER: 1>
2020,10,18,18:04:24,<Direction.ENTER: 1>
2020,10,18,18:04:57,<Direction.ENTER: 1>
2020,10,18,18:04:59,<Direction.ENTER: 1>
2020,10,18,18:05:17,<Direction.ENTER: 1>
2020,10,18,18:05:19,<Direction.ENTER: 1>
2020,10,18,18:07:50,<Direction.ENTER: 1>
2020,10,18,18:08:09,<Direction.ENTER: 1>
2020,10,18,18:09:24,<Direction.ENTER: 1>
2020,10,18,18:09:24,<Direction.ENTER: 1>
2020,10,18,18:11:09,<Direction.ENTER: 1>
